wind_speed_bin,mean_power_kw,sample_count,turbine_id
0.25,0.0,15,Kelmarsh_1
0.75,0.0,46,Kelmarsh_1
1.25,0.0,60,Kelmarsh_1
1.75,0.49141863042568606,101,Kelmarsh_1
2.25,1.6690719352635444,261,Kelmarsh_1
2.75,12.915695982745966,354,Kelmarsh_1
3.25,44.443023080058474,403,Kelmarsh_1
3.75,81.00338422317377,474,Kelmarsh_1
4.25,124.5549765108334,570,Kelmarsh_1
4.75,184.01152475180146,626,Kelmarsh_1
5.25,253.68643256167687,617,Kelmarsh_1
5.75,340.0042163853882,651,Kelmarsh_1
6.25,441.60565942588346,609,Kelmarsh_1
6.75,556.2676971850417,555,Kelmarsh_1
7.25,693.605592086987,524,Kelmarsh_1
7.75,849.3209510715528,435,Kelmarsh_1
8.25,997.591143836196,380,Kelmarsh_1
8.75,1197.7111424333584,306,Kelmarsh_1
9.25,1326.5330625444813,248,Kelmarsh_1
9.75,1433.1064602169427,221,Kelmarsh_1
10.25,1474.5876082549494,155,Kelmarsh_1
10.75,1586.2824547045159,110,Kelmarsh_1
11.25,1535.3282125412654,78,Kelmarsh_1
11.75,1567.62294609164,54,Kelmarsh_1
12.25,1405.0037545637758,51,Kelmarsh_1
12.75,1274.8317974983377,47,Kelmarsh_1
13.25,929.1049531505565,33,Kelmarsh_1
13.75,968.1395039876302,30,Kelmarsh_1
14.25,1357.3033235677085,25,Kelmarsh_1
14.75,878.9868053860135,24,Kelmarsh_1
15.25,1100.0717776166068,15,Kelmarsh_1
15.75,1560.5139973958335,5,Kelmarsh_1
16.25,1115.835484095982,7,Kelmarsh_1
16.75,1927.1205647786458,3,Kelmarsh_1
17.25,0.0,4,Kelmarsh_1
17.75,0.0,1,Kelmarsh_1
18.25,0.0,1,Kelmarsh_1
21.0,0.0,2,Kelmarsh_1
0.25,0.0,15,Kelmarsh_2
0.75,0.0,34,Kelmarsh_2
1.25,0.0,75,Kelmarsh_2
1.75,0.25219790194647385,83,Kelmarsh_2
2.25,2.513267372164034,248,Kelmarsh_2
2.75,15.064926761096574,303,Kelmarsh_2
3.25,43.024850235120184,324,Kelmarsh_2
3.75,83.82140253799268,411,Kelmarsh_2
4.25,129.48359129546466,484,Kelmarsh_2
4.75,191.4910300357307,594,Kelmarsh_2
5.25,275.79870462686915,602,Kelmarsh_2
5.75,360.2252595440487,665,Kelmarsh_2
6.25,479.44699146235695,595,Kelmarsh_2
6.75,606.4338706138991,619,Kelmarsh_2
7.25,759.4319846147476,536,Kelmarsh_2
7.75,915.9183226810877,461,Kelmarsh_2
8.25,1104.739831722199,420,Kelmarsh_2
8.75,1265.9916541574942,413,Kelmarsh_2
9.25,1421.5497890479578,305,Kelmarsh_2
9.75,1561.4102765287178,253,Kelmarsh_2
10.25,1619.1154524913597,154,Kelmarsh_2
10.75,1464.7397445420088,118,Kelmarsh_2
11.25,1511.5041932107122,90,Kelmarsh_2
11.75,1624.9068897902362,66,Kelmarsh_2
12.25,1597.0895430424075,46,Kelmarsh_2
12.75,1523.7753380981087,50,Kelmarsh_2
13.25,1248.652949418766,28,Kelmarsh_2
13.75,1493.3203425707209,28,Kelmarsh_2
14.25,1777.7407300544508,22,Kelmarsh_2
14.75,1724.625416819696,18,Kelmarsh_2
15.25,1894.9849185332275,13,Kelmarsh_2
15.75,1803.9783304850262,10,Kelmarsh_2
16.25,1924.7461005316839,3,Kelmarsh_2
16.75,1717.413564818246,7,Kelmarsh_2
17.25,2049.437484741211,4,Kelmarsh_2
17.75,1792.7608427007995,2,Kelmarsh_2
18.75,1678.6233317057292,1,Kelmarsh_2
19.25,2052.6033528645835,1,Kelmarsh_2
19.75,1631.0258390307426,2,Kelmarsh_2
0.25,0.0,13,Kelmarsh_3
0.75,0.0,37,Kelmarsh_3
1.25,0.05260425708103627,71,Kelmarsh_3
1.75,0.23928858432196834,86,Kelmarsh_3
2.25,1.3323712558031429,229,Kelmarsh_3
2.75,8.530331392798923,390,Kelmarsh_3
3.25,34.97750180148142,377,Kelmarsh_3
3.75,75.91960896587948,434,Kelmarsh_3
4.25,128.7692705692923,554,Kelmarsh_3
4.75,192.23975971891997,653,Kelmarsh_3
5.25,263.5728276939024,711,Kelmarsh_3
5.75,351.5559036855693,734,Kelmarsh_3
6.25,471.7630791851819,651,Kelmarsh_3
6.75,600.0530166969696,600,Kelmarsh_3
7.25,748.2216602782846,499,Kelmarsh_3
7.75,911.5018090384523,388,Kelmarsh_3
8.25,1048.8649157667762,343,Kelmarsh_3
8.75,1252.7066149738032,262,Kelmarsh_3
9.25,1425.7526663556544,229,Kelmarsh_3
9.75,1526.8046284086552,176,Kelmarsh_3
10.25,1563.890306064795,116,Kelmarsh_3
10.75,1456.6418753487724,70,Kelmarsh_3
11.25,1489.4231120589513,51,Kelmarsh_3
11.75,1259.6283059998561,57,Kelmarsh_3
12.25,1380.7590968312782,51,Kelmarsh_3
12.75,1184.2488796092846,36,Kelmarsh_3
13.25,1229.4089451210173,17,Kelmarsh_3
13.75,1368.0810214929413,19,Kelmarsh_3
14.25,473.86729431152344,8,Kelmarsh_3
14.75,1497.4246643066406,15,Kelmarsh_3
15.25,953.2673785686493,7,Kelmarsh_3
15.75,2042.144999186198,1,Kelmarsh_3
16.25,1202.175333658854,5,Kelmarsh_3
17.25,597.4816691080729,1,Kelmarsh_3
17.75,935.4994608561198,3,Kelmarsh_3
18.75,596.7200113932291,1,Kelmarsh_3
19.25,594.4800008138021,1,Kelmarsh_3
19.75,596.4066772460938,1,Kelmarsh_3
0.25,0.0,19,Kelmarsh_4
0.75,0.0,46,Kelmarsh_4
1.25,0.01722949286622386,62,Kelmarsh_4
1.75,0.24900035201930087,104,Kelmarsh_4
2.25,2.025461088276921,244,Kelmarsh_4
2.75,12.467494103576456,342,Kelmarsh_4
3.25,43.70021734770348,378,Kelmarsh_4
3.75,84.1781608071468,493,Kelmarsh_4
4.25,134.12272977281623,532,Kelmarsh_4
4.75,196.64482739180508,656,Kelmarsh_4
5.25,274.0457315132577,680,Kelmarsh_4
5.75,368.97534772406334,632,Kelmarsh_4
6.25,477.19096826384174,581,Kelmarsh_4
6.75,604.7724638325683,553,Kelmarsh_4
7.25,757.998313460808,524,Kelmarsh_4
7.75,924.1088928227362,416,Kelmarsh_4
8.25,1101.9719044955486,376,Kelmarsh_4
8.75,1278.3515611977525,305,Kelmarsh_4
9.25,1437.6089359753162,265,Kelmarsh_4
9.75,1565.7004917043362,163,Kelmarsh_4
10.25,1662.3900918447844,124,Kelmarsh_4
10.75,1692.071628846984,92,Kelmarsh_4
11.25,1648.817578059971,63,Kelmarsh_4
11.75,1785.9278578324752,44,Kelmarsh_4
12.25,1742.6534267327725,26,Kelmarsh_4
12.75,1498.5215795180377,34,Kelmarsh_4
13.25,1668.0824405445771,17,Kelmarsh_4
13.75,1513.021873474121,12,Kelmarsh_4
14.25,1397.4077442905357,19,Kelmarsh_4
14.75,1445.822030040953,9,Kelmarsh_4
15.25,1411.0783524711928,8,Kelmarsh_4
15.75,1378.3131243387859,8,Kelmarsh_4
16.25,2051.1016438802085,1,Kelmarsh_4
16.75,1380.4724960327148,4,Kelmarsh_4
17.25,1678.260009765625,1,Kelmarsh_4
17.75,1673.209981282552,1,Kelmarsh_4
0.25,0.0,15,Kelmarsh_5
0.75,0.0,44,Kelmarsh_5
1.25,0.01213717134031531,73,Kelmarsh_5
1.75,0.5048723061486046,101,Kelmarsh_5
2.25,2.158172533386434,264,Kelmarsh_5
2.75,13.290369814967326,377,Kelmarsh_5
3.25,47.2131127845195,421,Kelmarsh_5
3.75,88.7572703162037,533,Kelmarsh_5
4.25,137.90214953498418,636,Kelmarsh_5
4.75,204.65982638289574,713,Kelmarsh_5
5.25,278.34086471783,701,Kelmarsh_5
5.75,372.2839260689381,657,Kelmarsh_5
6.25,487.8279686958708,608,Kelmarsh_5
6.75,606.620748853055,569,Kelmarsh_5
7.25,743.3753536228862,433,Kelmarsh_5
7.75,886.391669219297,356,Kelmarsh_5
8.25,1032.5565690173917,318,Kelmarsh_5
8.75,1170.4873891685793,253,Kelmarsh_5
9.25,1323.3431748986645,198,Kelmarsh_5
9.75,1488.8952160414367,168,Kelmarsh_5
10.25,1465.8181250329112,136,Kelmarsh_5
10.75,1397.4301181763642,86,Kelmarsh_5
11.25,1242.920878092448,61,Kelmarsh_5
11.75,1257.9870336760516,53,Kelmarsh_5
12.25,1196.4725020224848,40,Kelmarsh_5
12.75,923.6074903534679,41,Kelmarsh_5
13.25,628.3301493326823,36,Kelmarsh_5
13.75,743.6085824316893,26,Kelmarsh_5
14.25,968.7790429141786,15,Kelmarsh_5
14.75,848.3215568183907,21,Kelmarsh_5
15.25,408.6500032014317,6,Kelmarsh_5
15.75,559.7408345540365,6,Kelmarsh_5
16.25,184.44099934895831,5,Kelmarsh_5
16.75,838.8300069173177,2,Kelmarsh_5
17.25,0.0,2,Kelmarsh_5
17.75,559.9511176215277,3,Kelmarsh_5
18.25,0.0,1,Kelmarsh_5
19.75,0.0,3,Kelmarsh_5
21.0,0.0,1,Kelmarsh_5
0.25,0.0,17,Kelmarsh_6
0.75,0.0,48,Kelmarsh_6
1.25,0.16136639926168653,75,Kelmarsh_6
1.75,0.3495199609006572,117,Kelmarsh_6
2.25,0.8937043931417996,300,Kelmarsh_6
2.75,6.945141979263702,410,Kelmarsh_6
3.25,33.79654087064238,478,Kelmarsh_6
3.75,72.16937558255526,569,Kelmarsh_6
4.25,124.53055951928353,724,Kelmarsh_6
4.75,186.1253386032163,760,Kelmarsh_6
5.25,264.56974942580536,786,Kelmarsh_6
5.75,358.6835525584632,696,Kelmarsh_6
6.25,468.10932797468024,608,Kelmarsh_6
6.75,601.9915135758165,433,Kelmarsh_6
7.25,752.0684152838799,373,Kelmarsh_6
7.75,929.1183084043504,318,Kelmarsh_6
8.25,1090.5097157262255,281,Kelmarsh_6
8.75,1237.6053923717652,198,Kelmarsh_6
9.25,1408.1564798564623,165,Kelmarsh_6
9.75,1540.2987371221318,111,Kelmarsh_6
10.25,1666.1911661783856,95,Kelmarsh_6
10.75,1601.5735979176532,66,Kelmarsh_6
11.25,1645.5570096102629,33,Kelmarsh_6
11.75,1539.5485380326193,29,Kelmarsh_6
12.25,1290.4885673059357,24,Kelmarsh_6
12.75,1284.1749795526266,24,Kelmarsh_6
13.25,1159.6226450602214,12,Kelmarsh_6
13.75,1478.526968496817,9,Kelmarsh_6
14.25,882.1313107808431,8,Kelmarsh_6
14.75,1835.9171786838108,6,Kelmarsh_6
15.25,1018.5958251953125,4,Kelmarsh_6
15.75,299.600835164388,4,Kelmarsh_6
16.25,419.8808339436849,4,Kelmarsh_6
16.75,0.0,1,Kelmarsh_6
