Turbine,First date of AeroUp works,Last date of AeroUp works
T01,2022-07-23,2022-08-01
T02,2022-07-18,2022-07-28
T03,2022-07-28,2022-08-14
T04,2022-07-31,2022-09-10
T05,2022-07-16,2022-07-22
T06,2022-07-16,2023-04-15
T07,2022-09-20,2023-05-25
T08,2022-08-08,2022-09-21
T09,2022-09-13,2022-10-03
T10,2022-08-04,2023-04-26
T11,2022-09-09,2023-05-18
T12,2022-09-01,2023-05-09
T13,2021-09-23,2021-09-29
T14,2022-08-30,2022-10-03
T15,2022-07-14,2023-05-26
T16,2022-08-27,2023-04-15
T17,2022-08-10,2022-08-27
T18,2022-08-22,2022-09-21
T19,2022-08-11,2022-08-23
T20,2022-08-13,2023-04-20
T21,2022-08-21,2022-09-01
