Wind Farm,Title,Alternative Title,Identity,Manufacturer,Model,Rated power (kW),Hub Height (m),Rotor Diameter (m),Latitude,Longitude,Elevation (m),Country,Commercial Operations Date,
Penmanshiel,Penmanshiel 01,T01,MM82/59 82765-01,Senvion,MM82,2050,59,82,55.902502,-2.306389,212.26,UK,01/09/2016,
Penmanshiel,Penmanshiel 02,T02,MM82/59 82766-02,Senvion,MM82,2050,59,82,55.900008,-2.301268,200.46,UK,01/09/2016,
Penmanshiel,Penmanshiel 04,T04,MM82/59 82768-04,Senvion,MM82,2050,59,82,55.905943,-2.30269,208.91,UK,01/09/2016,
Penmanshiel,Penmanshiel 05,T05,MM82/59 82769-05,Senvion,MM82,2050,59,82,55.903294,-2.298367,201.38,UK,01/09/2016,
Penmanshiel,Penmanshiel 06,T06,MM82/59 82770-06,Senvion,MM82,2050,59,82,55.900951,-2.293967,199.03,UK,01/09/2016,
Penmanshiel,Penmanshiel 07,T07,MM82/59 82771-07,Senvion,MM82,2050,59,82,55.898741,-2.289856,180.24,UK,01/09/2016,
Penmanshiel,Penmanshiel 08,T08,MM82/59 82772-08,Senvion,MM82,2050,59,82,55.907915,-2.297314,200.13,UK,01/09/2016,
Penmanshiel,Penmanshiel 09,T09,MM82/59 82773-09,Senvion,MM82,2050,59,82,55.90499,-2.291806,187.04,UK,01/09/2016,
Penmanshiel,Penmanshiel 10,T10,MM82/59 82774-10,Senvion,MM82,2050,59,82,55.903032,-2.287585,186.88,UK,01/09/2016,
Penmanshiel,Penmanshiel 11,T11,MM82/59 82775-11,Senvion,MM82,2050,59,82,55.900852,-2.282371,204.84,UK,01/09/2016,
Penmanshiel,Penmanshiel 12,T12,MM82/59 82776-12,Senvion,MM82,2050,59,82,55.908703,-2.290986,219.31,UK,01/09/2016,
Penmanshiel,Penmanshiel 13,T13,MM82/59 82777-13,Senvion,MM82,2050,59,82,55.907026,-2.285887,220,UK,01/09/2016,
Penmanshiel,Penmanshiel 14,T14,MM82/59 82778-14,Senvion,MM82,2050,59,82,55.90505,-2.28165,219.46,UK,01/09/2016,
Penmanshiel,Penmanshiel 15,T15,MM82/59 82767-15,Senvion,MM82,2050,59,82,55.902463,-2.277329,228.15,UK,01/09/2016,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
